idDevedores,Valor,QtdTitulos
12987,5250,00,21
12988,5500,00,11
12989,3600,00,10
12990,630,00,1
12991,270,00,1
12992,3960,00,11
12993,1000,00,4
12994,7744,00,11
12995,4320,00,12
12997,3960,00,11
12998,306,00,1
12999,6960,00,8
13002,720,00,2
13003,3240,00,2
13004,720,00,2
13005,448,00,1
13006,8293,50,20
13008,250,00,1
13009,3240,00,9
13010,1408,00,2
13011,4140,00,12
13012,3960,00,11
13013,2286,24,9
13014,918,00,3
13015,14040,00,9
13016,2864,16,9
13018,313,50,1
13020,7238,28,23
13021,1080,00,3
13022,1952,90,5
13024,1080,00,3
13025,3121,50,10
13026,3960,00,11
13027,2160,00,6
13028,2500,00,1
13029,16858,40,13
13030,16858,40,13
13032,1800,00,5
13033,2160,00,1
13034,9833,81,14
13036,5048,30,10
13037,3240,00,4
13038,2160,00,6
13039,300,00,1
13040,7500,00,3
13041,1005,00,1
13042,854,25,1
13043,3600,00,10
13044,306,00,1
13046,6000,00,12
13047,345,00,1
13048,720,00,2
13049,2448,00,8
13050,6336,00,9
13051,3102,00,4
13052,2500,00,1
13053,1200,00,1
13054,360,00,1
13055,28993,02,12
13057,2893,28,8
13058,500,00,2
13059,2500,00,1
13060,360,00,1
13061,4320,00,12
13062,7744,00,11
13063,5000,00,2
13064,2160,00,6
13065,1530,00,5
13066,2160,00,6
13067,5000,00,2
13068,3300,00,11
13069,2340,00,1
13070,2100,00,7
13071,2560,00,8
13072,2160,00,1
13073,12500,00,5
13074,12160,00,5
13075,3240,00,9
13076,2500,00,1
13077,15000,00,10
13078,2500,00,1
13079,2520,00,7
13080,7250,00,23
13081,2500,00,1
13083,720,00,2
13085,620,00,2
13086,8910,00,9
13087,3138,32,9
13088,3590,40,6
13089,306,00,1
13090,3000,00,3
13091,360,00,1
13092,3165,80,9
13093,4320,00,12
13094,313,50,1
13095,2893,28,8
13096,720,00,2
13098,3564,04,2
13099,4320,00,12
13100,1836,00,6
13102,990,00,3
13103,3520,00,5
13104,990,00,1
13105,402,55,1
13106,1750,00,7
13107,832,00,2
13108,3600,00,10
13109,5000,00,2
13110,720,00,2
13111,500,00,1
13112,6524,15,13
13113,4320,00,12
13114,4012,08,16
13115,720,00,2
13116,1080,00,3
13117,21060,00,9
13118,2880,00,8
13119,401,28,1
13120,18550,00,7
13121,2160,00,6
13122,854,25,1
13124,4528,98,15
13125,4320,00,12
13126,3600,00,10
13127,60,48,1
13128,18360,00,13
13130,4680,00,8
13131,360,00,1
13132,3524,16,14
13133,2786,24,11
13134,5000,00,20
13135,2500,00,1
13136,14252,00,15
13137,17280,00,13
13138,715,00,1
13139,3240,00,9
13140,8040,00,8
13141,4928,00,7
13143,1800,00,6
13144,2792,00,2
13145,1400,00,2
13146,5000,00,2
13147,313,50,1
13148,3600,00,2
13150,2112,00,3
13151,360,00,1
13152,1620,00,1
13153,17500,00,7
13154,2733,36,8
13155,3960,00,4
13156,2520,00,7
13157,504,00,15
13158,840,00,15
13160,300,00,1
13161,16500,00,11
13162,990,00,1
13163,4346,08,16
13164,4894,50,16
13165,2754,00,9
13166,3774,16,15
13167,3524,16,14
13169,2880,00,8
13170,345,00,1
13171,1005,00,1
13172,2160,00,4
13173,2142,00,7
13174,3888,18,11
13175,2142,00,7
13176,3015,00,3
13177,310,00,1
13178,2359,65,2
13179,1248,00,4
13180,4200,00,14
13181,416,00,1
13182,918,00,3
13183,360,00,1
13184,5960,00,20
13185,512,00,1
13186,3994,50,13
13187,1440,00,2
13188,2500,00,5
13189,480,00,1
13190,5000,00,2
13191,10000,00,4
13192,1834,56,1
13193,2160,00,6
13194,360,00,1
13195,720,00,2
13196,1500,00,6
13197,25000,00,10
13198,3600,00,10
13199,7744,00,11
13200,3960,00,11
13201,300,00,1
13202,3928,28,11
13203,3600,00,10
13204,1620,00,2
13205,12500,00,5
13206,4320,00,12
13207,4166,60,15
13208,7274,16,7
13209,18025,00,8
13210,8040,00,8
13211,3240,00,9
13212,560,00,9
13213,7008,71,20
13214,560,00,9
13215,5025,00,5
13216,2520,00,7
13217,877,80,2
13218,3600,00,10
13219,6318,71,18
13220,4320,00,12
13221,5000,00,2
13222,3600,00,10
13223,291,00,1
13224,3600,00,12
13225,1567,50,1
13226,6336,00,9
13227,2380,00,9
13228,7594,50,25
13229,14544,00,9
13230,3960,00,11
13231,2500,00,1
13233,704,00,1
13234,6336,24,3
13235,2333,36,4
13237,3511,20,6
13238,6200,00,5
13239,22500,00,9
13240,1080,00,3
13241,7500,00,3
13243,500,00,1
13244,9133,81,13
13245,3400,00,10
13246,2880,00,8
